roadName,predictedTime,timeStamp
N101.0,46.5,2021-05-15 10:45:56
N101.0,46.5,2021-05-15 11:45:56
N101.0,46.5,2021-05-15 12:45:56
N101.0,46.5,2021-05-15 13:45:56
N101.0,46.4,2021-05-15 14:45:56
N101.0,46.4,2021-05-15 15:45:56
N101.0,46.4,2021-05-15 16:45:56
N101.0,46.4,2021-05-15 17:45:56
N101.0,46.4,2021-05-15 18:45:56
N101.0,46.4,2021-05-15 19:45:56
N101.0,46.4,2021-05-15 20:45:56
N101.0,46.4,2021-05-15 21:45:56
N101.1,14.6,2021-05-15 10:44:51
N101.1,14.6,2021-05-15 11:44:51
N101.1,14.6,2021-05-15 12:44:51
N101.1,14.6,2021-05-15 13:44:51
N101.1,14.5,2021-05-15 14:44:51
N101.1,14.5,2021-05-15 15:44:51
N101.1,14.5,2021-05-15 16:44:51
N101.1,14.5,2021-05-15 17:44:51
N101.1,14.5,2021-05-15 18:44:51
N101.1,14.5,2021-05-15 19:44:51
N101.1,14.5,2021-05-15 20:44:51
N101.1,14.5,2021-05-15 21:44:51
N101.2,9.6,2021-05-15 10:44:56
N101.2,9.6,2021-05-15 11:44:56
N101.2,9.6,2021-05-15 12:44:56
N101.2,9.6,2021-05-15 13:44:56
N101.2,9.6,2021-05-15 14:44:56
N101.2,9.6,2021-05-15 15:44:56
N101.2,9.6,2021-05-15 16:44:56
N101.2,9.6,2021-05-15 17:44:56
N101.2,9.6,2021-05-15 18:44:56
N101.2,9.6,2021-05-15 19:44:56
N101.2,9.6,2021-05-15 20:44:56
N101.2,9.6,2021-05-15 21:44:56
N101.3,16.2,2021-05-15 10:45:01
N101.3,16.3,2021-05-15 11:45:01
N101.3,16.4,2021-05-15 12:45:01
N101.3,16.5,2021-05-15 13:45:01
N101.3,16.6,2021-05-15 14:45:01
N101.3,16.7,2021-05-15 15:45:01
N101.3,16.7,2021-05-15 16:45:01
N101.3,16.6,2021-05-15 17:45:01
N101.3,16.4,2021-05-15 18:45:01
N101.3,16.3,2021-05-15 19:45:01
N101.3,16.3,2021-05-15 20:45:01
N101.3,16.2,2021-05-15 21:45:01
N101.4,47.4,2021-05-15 10:45:06
N101.4,47.4,2021-05-15 11:45:06
N101.4,47.4,2021-05-15 12:45:06
N101.4,47.4,2021-05-15 13:45:06
N101.4,47.4,2021-05-15 14:45:06
N101.4,47.4,2021-05-15 15:45:06
N101.4,47.4,2021-05-15 16:45:06
N101.4,47.4,2021-05-15 17:45:06
N101.4,47.4,2021-05-15 18:45:06
N101.4,47.4,2021-05-15 19:45:06
N101.4,47.4,2021-05-15 20:45:06
N101.4,47.4,2021-05-15 21:45:06
N101.5,49.1,2021-05-15 10:45:11
N101.5,49.1,2021-05-15 11:45:11
N101.5,49.1,2021-05-15 12:45:11
N101.5,49.1,2021-05-15 13:45:11
N101.5,49.1,2021-05-15 14:45:11
N101.5,49.1,2021-05-15 15:45:11
N101.5,49.1,2021-05-15 16:45:11
N101.5,49.1,2021-05-15 17:45:11
N101.5,49.1,2021-05-15 18:45:11
N101.5,49.1,2021-05-15 19:45:11
N101.5,49.1,2021-05-15 20:45:11
N101.5,49.1,2021-05-15 21:45:11
N103.0,22.8,2021-05-15 10:45:41
N103.0,23.1,2021-05-15 11:45:41
N103.0,23.2,2021-05-15 12:45:41
N103.0,23.2,2021-05-15 13:45:41
N103.0,23.3,2021-05-15 14:45:41
N103.0,23.5,2021-05-15 15:45:41
N103.0,23.8,2021-05-15 16:45:41
N103.0,24.1,2021-05-15 17:45:41
N103.0,23.2,2021-05-15 18:45:41
N103.0,22.7,2021-05-15 19:45:41
N103.0,22.6,2021-05-15 20:45:41
N103.0,22.5,2021-05-15 21:45:41
N103.1,43.7,2021-05-15 10:45:46
N103.1,43.7,2021-05-15 11:45:46
N103.1,43.7,2021-05-15 12:45:46
N103.1,43.7,2021-05-15 13:45:46
N103.1,43.7,2021-05-15 14:45:46
N103.1,43.7,2021-05-15 15:45:46
N103.1,43.7,2021-05-15 16:45:46
N103.1,43.7,2021-05-15 17:45:46
N103.1,43.7,2021-05-15 18:45:46
N103.1,43.7,2021-05-15 19:45:46
N103.1,43.7,2021-05-15 20:45:46
N103.1,43.7,2021-05-15 21:45:46
N103.2,32.2,2021-05-15 10:45:51
N103.2,32.4,2021-05-15 11:45:51
N103.2,32.5,2021-05-15 12:45:51
N103.2,32.8,2021-05-15 13:45:51
N103.2,33.4,2021-05-15 14:45:51
N103.2,34.2,2021-05-15 15:45:51
N103.2,35.1,2021-05-15 16:45:51
N103.2,35.2,2021-05-15 17:45:51
N103.2,34.2,2021-05-15 18:45:51
N103.2,32.6,2021-05-15 19:45:51
N103.2,31.7,2021-05-15 20:45:51
N103.2,31.2,2021-05-15 21:45:51
Cent.1,22.2,2021-05-15 10:45:21
Cent.1,22.2,2021-05-15 11:45:21
Cent.1,22.2,2021-05-15 12:45:21
Cent.1,22.2,2021-05-15 13:45:21
Cent.1,22.2,2021-05-15 14:45:21
Cent.1,22.2,2021-05-15 15:45:21
Cent.1,22.2,2021-05-15 16:45:21
Cent.1,22.2,2021-05-15 17:45:21
Cent.1,22.2,2021-05-15 18:45:21
Cent.1,22.2,2021-05-15 19:45:21
Cent.1,22.2,2021-05-15 20:45:21
Cent.1,22.2,2021-05-15 21:45:21
Cent.0,6.7,2021-05-15 10:45:16
Cent.0,6.7,2021-05-15 11:45:16
Cent.0,6.7,2021-05-15 12:45:16
Cent.0,6.7,2021-05-15 13:45:16
Cent.0,6.7,2021-05-15 14:45:16
Cent.0,6.7,2021-05-15 15:45:16
Cent.0,6.7,2021-05-15 16:45:16
Cent.0,6.7,2021-05-15 17:45:16
Cent.0,6.7,2021-05-15 18:45:16
Cent.0,6.7,2021-05-15 19:45:16
Cent.0,6.7,2021-05-15 20:45:16
Cent.0,6.7,2021-05-15 21:45:16
Cent.1,22.3,2021-05-15 10:45:21
Cent.1,22.3,2021-05-15 11:45:21
Cent.1,22.3,2021-05-15 12:45:21
Cent.1,22.3,2021-05-15 13:45:21
Cent.1,22.3,2021-05-15 14:45:21
Cent.1,22.3,2021-05-15 15:45:21
Cent.1,22.3,2021-05-15 16:45:21
Cent.1,22.2,2021-05-15 17:45:21
Cent.1,22.2,2021-05-15 18:45:21
Cent.1,22.2,2021-05-15 19:45:21
Cent.1,22.2,2021-05-15 20:45:21
Cent.1,22.2,2021-05-15 21:45:21
Cent.2,31.6,2021-05-15 10:45:26
Cent.2,31.6,2021-05-15 11:45:26
Cent.2,31.6,2021-05-15 12:45:26
Cent.2,31.6,2021-05-15 13:45:26
Cent.2,31.6,2021-05-15 14:45:26
Cent.2,31.6,2021-05-15 15:45:26
Cent.2,31.6,2021-05-15 16:45:26
Cent.2,31.6,2021-05-15 17:45:26
Cent.2,31.6,2021-05-15 18:45:26
Cent.2,31.6,2021-05-15 19:45:26
Cent.2,31.6,2021-05-15 20:45:26
Cent.2,31.6,2021-05-15 21:45:26
Cent.3,31.5,2021-05-15 10:45:31
Cent.3,31.5,2021-05-15 11:45:31
Cent.3,31.5,2021-05-15 12:45:31
Cent.3,31.5,2021-05-15 13:45:31
Cent.3,31.5,2021-05-15 14:45:31
Cent.3,31.5,2021-05-15 15:45:31
Cent.3,31.5,2021-05-15 16:45:31
Cent.3,31.5,2021-05-15 17:45:31
Cent.3,31.5,2021-05-15 18:45:31
Cent.3,31.5,2021-05-15 19:45:31
Cent.3,31.5,2021-05-15 20:45:31
Cent.3,31.5,2021-05-15 21:45:31
Cent.4,27.7,2021-05-15 10:45:36
Cent.4,27.7,2021-05-15 11:45:36
Cent.4,27.7,2021-05-15 12:45:36
